"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://erneste.com.au/discount-tile-outlet/","text/html; charset=UTF-8","200","OK","Indexable","","2518","0.449","",""
"https://erneste.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.9.5","text/css","200","OK","Indexable","","0","0.129","",""
"https://erneste.com.au/wp-content/themes/genesis-block-theme/style.css?ver=6.8.3","text/css","200","OK","Indexable","","0","0.090","",""
"https://erneste.com.au/look/stone-look-tiles/","text/html; charset=UTF-8","200","OK","Indexable","","1816","0.330","",""
"https://erneste.com.au/look/travertine-look-tiles/","text/html; charset=UTF-8","200","OK","Indexable","","1794","0.640","",""
"https://erneste.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.9.5","text/css","200","OK","Indexable","","0","0.159","",""
"https://erneste.com.au/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1","application/javascript","200","OK","Indexable","","0","0.092","",""
"https://erneste.com.au/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1","text/css","200","OK","Indexable","","0","0.068","",""
"https://erneste.com.au/wp-includes/js/dist/url.min.js?ver=c2964167dfe2477c14ea","application/javascript","200","OK","Indexable","","0","0.084","",""
"https://erneste.com.au/design/","text/html; charset=UTF-8","200","OK","Indexable","","1677","0.309","",""
"https://erneste.com.au/design/kit-kat-tiles/","text/html; charset=UTF-8","200","OK","Indexable","","1793","0.331","",""
"https://erneste.com.au/design/fishscale-shape-tile/","text/html; charset=UTF-8","200","OK","Indexable","","1789","0.473","",""
"https://erneste.com.au/about-us/","text/html; charset=UTF-8","200","OK","Indexable","","2516","0.463","",""
"https://erneste.com.au/tile-shop-categories/","text/html; charset=UTF-8","200","OK","Indexable","","1679","0.501","",""
"https://erneste.com.au/wp-content/themes/genesis-block-theme/inc/fonts/css/font-style.css","text/css","200","OK","Indexable","","0","0.135","",""
"https://erneste.com.au/wp-content/plugins/blog-designer-for-post-and-widget/assets/css/slick.css?ver=2.7.5","text/css","200","OK","Indexable","","0","0.081","",""
"https://erneste.com.au/wp-content/plugins/blog-designer//admin/css/fontawesome-all.min.css?ver=1.0","text/css","200","OK","Indexable","","0","0.099","",""
"https://erneste.com.au/wp-includes/css/dist/block-library/style.min.css?ver=6.8.3","text/css","200","OK","Indexable","","0","0.086","",""
"https://erneste.com.au/tile-application","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","7","0.356","https://erneste.com.au/tile-application/","HTTP Redirect"
